-111.686984,40.274418
-111.712730,40.308373
-111.666160,40.311277
-111.652116,40.240947
-111.679708,40.250096
-111.702995,40.241362
-111.696310,40.233226
-111.710427,40.269397
-111.719294,40.289226
-111.664243,40.314227
-111.615940,40.189968
-111.705573,40.309429
-111.635355,40.220676
-111.646344,40.212896
-111.631692,40.252833
-111.698688,40.243314
-111.692090,40.214752
-111.640316,40.292476
-111.657286,40.236924
-111.649701,40.226665
-111.702211,40.317122
-111.704305,40.329673
-111.687854,40.296484
-111.730735,40.298550
-111.635477,40.256025
-111.671003,40.253052
-111.704925,40.247095
